Name,Iteration1,Iteration2,Iteration3,Iteration4,Iteration5,Iteration6,Iteration7,Iteration8,Iteration9,Iteration10
threads,3,3,3,3,10,10,30,30,50,50
numberOfFiles,9,9,9,9,100,500,300,1500,500,2500
meanWritingTime,2000,2000,600,200,600,600,600,600,600,600
stVarWritingTime,200,1800,400,100,400,400,400,400,400,400
TA_Attempted,450,450,450,450,1500,1500,4500,4500,7500,7500
success_Writes,286,326,315,302,962,1349,2692,3475,4193,5547
conflicts,164,124,135,148,538,151,1808,1025,3307,1953
rollbacks,57,45,49,57,63,20,108,52,130,63
mean_Rollback,340.49122807017545,322.1078431372549,319.2119205298013,312.15865384615387,372.5018450184502,383.0343642611684,564.280701754386,633.7361419068736,824.9449225473322,915.7468944099379
conflict_Rate,36.44444444444444,27.555555555555557,30.0,32.88888888888889,35.86666666666667,10.066666666666666,40.17777777777778,22.77777777777778,44.093333333333334,26.040000000000003
